,0,1,2,3,4,5,6,7,8,9
2022-03-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2022-03-02,0.053968564,0.10821336,0.047194194,0.18654007,0.0628483,0.0010172762,0.011272533,0.1339146,0.14187303,0.03731659
2022-03-03,0.06963067,0.14497212,0.06261547,0.25373322,0.08492272,0.0015895283,0.015405096,0.18100823,0.19482793,0.051222585
2022-03-04,0.06943759,0.15780562,0.06551988,0.27193338,0.090654455,0.0016468792,0.01660672,0.19752125,0.21768321,0.054297432
2022-03-05,0.06647005,0.1424411,0.060136285,0.25043178,0.08219354,0.0014521129,0.01551966,0.18179363,0.20209678,0.049765702
2022-03-06,0.06377197,0.13994284,0.058602363,0.2464322,0.07919725,0.0013821409,0.013073176,0.17142989,0.1974926,0.04817135
2022-03-07,0.06529539,0.14575072,0.06194628,0.2634101,0.084119484,0.001440961,0.013874667,0.18869413,0.20966339,0.050975773
2022-03-08,0.06355548,0.1344996,0.058569524,0.24322143,0.078980364,0.0013190348,0.014423328,0.1820221,0.19356313,0.04802651
2022-03-09,0.060624644,0.121947594,0.05459226,0.22496574,0.073529094,0.0012613562,0.013345159,0.15738808,0.1822713,0.04430918
2022-03-10,0.06219495,0.13310292,0.05814067,0.2432128,0.07800941,0.001378746,0.014019387,0.16901995,0.19288668,0.047036316
2022-03-11,0.064782836,0.1454348,0.062439077,0.25153577,0.08272825,0.0014016444,0.014895718,0.1873979,0.19676279,0.050100196
2022-03-12,0.06258983,0.13648336,0.059068162,0.24357934,0.07812792,0.0013453155,0.014334995,0.1754307,0.19335584,0.047659177
2022-03-13,0.061672434,0.13848029,0.05916553,0.25261763,0.07808919,0.0014952532,0.014516073,0.17680839,0.19864349,0.047875773
2022-03-14,0.06155463,0.13354056,0.058115732,0.24821486,0.07670561,0.0012701626,0.014342998,0.17268656,0.18876743,0.047464482
2022-03-15,0.060848862,0.12821677,0.056944903,0.23192981,0.07479322,0.001182104,0.014420658,0.16711101,0.17991787,0.04621692
2022-03-16,0.060822535,0.12699032,0.053199407,0.22361234,0.07148792,0.0012200339,0.014025926,0.16073424,0.17777193,0.039749388
2022-03-17,0.060648046,0.12848748,0.05385665,0.23205978,0.07216146,0.0012037203,0.013489689,0.16568404,0.17828996,0.039841313
2022-03-18,0.06320332,0.13051152,0.057688784,0.23778091,0.07495569,0.0011818726,0.014545216,0.15789336,0.18881068,0.044951826
2022-03-19,0.060925692,0.087671824,0.05567662,0.21582796,0.07081847,0.0012231418,0.014564907,0.15715328,0.18047817,0.045057386
2022-03-20,0.062372625,0.09652939,0.058943193,0.2314918,0.076075085,0.0013012846,0.013936025,0.1730726,0.11707826,0.047478884
2022-03-21,0.0641802,0.12240703,0.060172465,0.24323513,0.079137005,0.0013302411,0.014499926,0.1762016,0.13791089,0.04819446
2022-03-22,0.062353194,0.11822012,0.057691537,0.2252543,0.07602799,0.0011703741,0.014571244,0.16621745,0.16321425,0.046151645
2022-03-23,0.0614603,0.1127295,0.055048037,0.21914524,0.07151009,0.0010165857,0.014401676,0.1573718,0.16755508,0.04320987
2022-03-24,0.06331635,0.11155929,0.053003237,0.22787313,0.06676649,0.000993497,0.01438396,0.16076069,0.16521741,0.042301398
2022-03-25,0.06442523,0.11875408,0.056800842,0.24236667,0.07199636,0.000976721,0.01466677,0.17352293,0.16656803,0.04504067
2022-03-26,0.06471668,0.11966401,0.05877287,0.24205436,0.07459703,0.0008586749,0.014670262,0.170956,0.15723322,0.046216257
2022-03-27,0.06397722,0.112496,0.054897785,0.21483608,0.06704115,0.00089655136,0.013037144,0.15750112,0.15315287,0.04329189
2022-03-28,0.06568102,0.11644737,0.056727633,0.22399975,0.0721811,0.0009328561,0.011050475,0.15997358,0.16823488,0.045194127
2022-03-29,0.06627799,0.113417454,0.058692295,0.2243181,0.07449045,0.0010006363,0.010941902,0.15919277,0.17242707,0.04674226
